Company,Price,S/O,Market Cap,Cash,Debt,Revenue,EV,Forward PE
HUM,418.79,132.29M,55.4B,20B,8.09B,70.55B,43.5B,18.92
HWM,16.91,436.14M,7.38B,1.28B,5.21B,13.51B,11.36B,20.13
IBM,123.16,890.58M,109.68B,14.1B,69.76B,75.5B,165.48B,10.09
ICE,104.20,543.01M,56.58B,880M,8.68B,5.59B,64.55B,22.70
IDXX,383.46,85.05M,32.62B,105.29M,1.11B,2.47B,33.62B,60.96
IEX,178.85,75.51M,13.51B,746.35M,1.16B,2.39B,13.91B,33.12
IFF,120.55,106.93M,12.89B,497.41M,4.37B,5.1B,16.87B,19.29
ILMN,353.07,146M,51.55B,3.27B,1.89B,3.35B,50.17B,51.54
INCY,94.11,217.37M,20.58B,1.59B,75.71M,2.39B,19.07B,24.57
INFO,81.62,396.81M,32.39B,207.8M,5.78B,4.34B,37.97B,25.83
INTC,49.28,4.25B,209.59B,25.81B,38.35B,78.96B,222.12B,10.49
INTU,322.23,260.77M,84.03B,3.97B,663M,6.86B,80.72B,39.59
IP,35.18,393.09M,13.83B,847M,9.89B,21.28B,22.88B,14.30
IPG,17.48,389.92M,6.82B,1.09B,5.57B,8.32B,12.02B,10.05
IPGP,150.58,53.26M,8.02B,1.25B,44.98M,1.18B,6.82B,32.66
IQV,157.57,191.27M,30.14B,1.18B,12.84B,10.94B,42.06B,20.90
IR,34.71,417.06M,14.48B,1.17B,4.03B,3.27B,17.4B,21.43
IRM,30.21,288.15M,8.7B,907.18M,11.69B,4.19B,19.55B,23.60
ISRG,693.88,117.03M,81.2B,4.49B,,4.36B,76.74B,53.29
IT,128.14,89.23M,11.43B,356.63M,2.99B,4.2B,14.06B,36.72
ITW,195.14,316.16M,61.7B,1.81B,7.77B,12.74B,67.65B,27.56
IVZ,10.14,459.17M,4.66B,1.01B,2.76B,6.48B,10.98B,6.00
J,88.82,130.21M,11.57B,1.34B,3.1B,13.44B,13.38B,15.31
JBHT,141.42,105.51M,14.92B,274.65M,1.46B,9.24B,16.1B,24.01
JCI,40.59,744.05M,30.2B,2.34B,9.24B,22.64B,38.16B,16.64
JKHY,165.85,76.62M,12.71B,109.51M,123.02M,1.7B,12.72B,37.35
JNJ,152.76,2.63B,402.19B,19.14B,30.39B,80.5B,413.45B,16.90
JNPR,23.62,331.75M,7.84B,1.87B,1.88B,4.43B,7.86B,13.12
JPM,97.32,3.05B,296.59B,1.25T,690.69B,97.28B,-234.22B,11.03
K,68.89,342.92M,23.62B,1.25B,9.13B,13.47B,32.04B,17.40
KEY,11.95,976M,11.66B,3.81B,16.03B,5.27B,25.78B,9.41
KEYS,95.88,187.04M,17.93B,1.7B,1.99B,4.12B,18.27B,18.73
KHC,34.56,1.22B,42.25B,2.81B,28.86B,25.42B,68.43B,13.82
KIM,11.43,432.5M,4.94B,201.69M,5.44B,1.11B,10.26B,21.17
KLAC,203.97,155.46M,31.71B,1.98B,3.57B,5.81B,33.31B,16.50
KMB,157.30,341.05M,53.65B,1.45B,8.1B,18.84B,60.53B,19.99
KMI,14.11,2.26B,31.94B,654M,34.47B,12.23B,66.89B,14.85
KMX,106.92,163.08M,17.44B,658.02M,15.41B,19.3B,32.19B,20.44
KO,47.28,4.3B,203.09B,19.83B,52.35B,34.33B,237.32B,22.95
KR,35.91,777.93M,27.94B,2.73B,20.64B,126.58B,45.82B,13.86
KSS,18.90,157.74M,2.98B,2.43B,7.73B,17.29B,8.21B,11.05
KSU,182.78,94.35M,17.25B,620.1M,3.84B,2.76B,20.8B,22.48
L,,,,,,,,
LB,29.97,277.83M,8.33B,957M,9.04B,11.36B,16.41B,15.86
LDOS,89.17,142.19M,12.68B,590M,5.66B,11.59B,17.75B,14.11
LEG,39.85,132.39M,5.28B,208.8M,2.3B,4.27B,7.37B,15.94
LEN,79.36,274.62M,24.14B,1.42B,8.94B,22.62B,32.39B,12.02
LH,180.62,97.4M,17.59B,559.3M,7.11B,11.47B,24.17B,11.82
LHX,178.59,216.2M,38.61B,1B,,24B,37.61B,13.90
LIN,244.30,525.36M,128.35B,4.94B,17.48B,27.2B,143.28B,27.64
LKQ,30.92,304.29M,9.41B,476.43M,4.61B,11.78B,13.59B,13.05
LLY,149.26,956.47M,142.76B,2.41B,16.69B,22.95B,149.76B,18.66
LMT,389.57,279.54M,108.9B,2.86B,12.67B,62.92B,118.76B,14.62
LNC,34.92,193.25M,6.75B,8.85B,8.05B,16.92B,5.95B,3.60
LNT,54.08,249.64M,13.5B,208.1M,6.77B,3.55B,20.46B,20.96
LOW,161.72,755M,122.26B,12.73B,26.19B,80.39B,135.72B,19.39
LRCX,353.44,145.33M,51.47B,6.71B,5.98B,10.04B,50.74B,14.65
LUV,34.69,589.87M,20.46B,14.46B,11.5B,16.61B,17.5B,20.77
LVS,48.52,763.8M,37.06B,3.03B,13.84B,8.64B,48.67B,23.90
LW,61.48,145.31M,8.93B,1.36B,3.71B,3.79B,11.33B,21.72
LYB,65.67,333.84M,21.92B,3.2B,16.25B,29.94B,35.11B,9.12
LYV,51.12,217.26M,11.11B,3.29B,6.46B,8.1B,14.69B,-28.88
MA,337.10,992.54M,337.46B,11.53B,12.5B,16.23B,338.51B,38.70
MAA,114.84,114.36M,13.13B,19.67M,4.51B,1.66B,17.84B,55.75
MAR,95.27,324.32M,30.9B,2.28B,12.77B,3.86B,41.38B,31.55
MAS,58.70,261.53M,15.35B,1.09B,2.93B,6.7B,17.36B,19.97
MCD,211.57,744.1M,157.43B,3.26B,51.92B,19.12B,206.1B,26.09
MCHP,107.93,252.45M,27.25B,380.2M,9.37B,5.26B,36.23B,16.18
MCK,150.97,162.12M,24.49B,2.61B,9.46B,231B,32.95B,8.85
MCO,284.47,187.7M,53.4B,2.2B,6.89B,5.2B,58.28B,29.03
MDLZ,57.47,1.43B,82.09B,1.64B,20.24B,25.89B,100.77B,20.53
MDT,98.73,1.34B,132.62B,10.95B,25.74B,28.91B,147.35B,17.69
MET,37.28,907.66M,33.84B,39.85B,111.07B,68.23B,105.31B,6.20
MGM,21.16,493.28M,10.44B,4.84B,20.13B,8.71B,30.77B,-27.48
MHK,90.32,71.19M,6.43B,737.71M,3.05B,9.28B,8.75B,11.11
MKC,203.15,123.94M,27.07B,185M,4.43B,5.43B,31.32B,36.15
MKTX,499.84,37.97M,18.98B,425.79M,94.7M,615.14M,18.65B,63.11
MLM,209.66,62.27M,13.06B,70.1M,3.23B,4.43B,16.21B,20.76
MMC,113.47,506.53M,56.97B,1.71B,15.43B,17.07B,71.37B,22.08
MMM,161.71,576.02M,93.15B,4.47B,21.62B,31.35B,110.36B,17.97
MNST,82.73,527.4M,43.63B,1.17B,22.94M,4.31B,42.48B,32.44
MO,43.46,1.86B,80.77B,4.83B,29.04B,20.32B,105.12B,9.53
MOS,17.49,379.09M,6.63B,1.07B,5.39B,8.67B,11.12B,17.85
MPC,35.40,650.69M,23.03B,1.09B,34.64B,102.64B,64.66B,34.71
MRK,84.98,2.53B,214.93B,11.11B,30.87B,47.19B,234.8B,13.36
MRO,5.27,789.44M,4.16B,522M,5.69B,4.02B,9.32B,-8.11
MS,51.10,1.58B,80.57B,610.67B,318.99B,43.79B,-200.12B,10.41
MSCI,363.69,83.64M,30.42B,1.38B,3.54B,1.63B,32.58B,44.46
MSFT,213.02,7.57B,1.61T,136.49B,82.11B,143.02B,1.56T,29.02
MSI,151.92,169.79M,25.79B,1.34B,6.14B,7.64B,30.6B,17.69
MTB,102.46,128.28M,13.14B,23.56B,6.53B,5.36B,-2.64B,10.44
MTD,959.98,23.97M,23.01B,127.28M,1.2B,2.94B,24.09B,36.72
MU,,,,,,,,
MXIM,68.51,266.68M,18.27B,1.61B,1.05B,2.19B,17.71B,25.10
MYL,15.99,516.95M,8.27B,401.2M,12.37B,11.5B,20.23B,3.42
NBL,10.04,479.94M,4.82B,324M,8.22B,3.89B,13.49B,-251.00
NCLH,15.56,275.62M,4.29B,2.26B,10.58B,4.66B,12.61B,-4.17
NDAQ,129.92,164.26M,21.34B,742M,3.94B,4.91B,24.54B,22.02
NEE,282.41,489.65M,138.28B,1.01B,46.54B,18.98B,188.61B,28.61
NEM,65.57,803.07M,52.66B,4.12B,6.8B,10.63B,56.31B,16.99
NFLX,492.31,441.02M,217.12B,7.15B,17.71B,22.63B,227.67B,55.94
NI,22.72,383.02M,8.7B,142.2M,10.24B,4.9B,19.68B,16.96
NKE,109.75,1.24B,171.2B,8.79B,13.02B,37.4B,175.43B,33.16
NLOK,22.59,591M,13.35B,1.13B,3.69B,2.45B,15.91B,14.67
